MINE_ID|MINE_NAME|MINE_TYPE|MINE_STATUS|OPERATOR_NAME|OPERATOR_GROUP|CONTROLLER_NAME|STATE|COUNTY|LATITUDE|LONGITUDE|REGION_CODE|PRIMARY_SIC|PRIMARY_CANVASS|NO_EMPLOYEES|NEAREST_TOWN
0100003|O'Neal Quarry & Mill|Surface|Active|Lhoist North America of Alabama, LLC|OTHER|Lhoist Group|AL|Shelby|33.177778|-86.758889|SOUTHEAST|Lime|Stone|108|Calera
0100004|Brierfield Quarry|Surface|Active|Lhoist North America of Alabama, LLC|OTHER|Lhoist Group|AL|Bibb|33.038056|-86.963333|SOUTHEAST|Crushed, Broken Limestone NEC|Stone|28|Brierfield
0100006|Auburn Quarry|Surface|Active|Martin Marietta Materials, Inc.|MLM|Martin Marietta Materials Inc|AL|Lee|32.530556|-85.470556|SOUTHEAST|Crushed, Broken Limestone NEC|Stone|15|Auburn
0100008|Landmark Plant|Surface|Active|Cheney Lime & Cement Company|OTHER|Alan B  Cheney|AL|Shelby|33.351176|-86.657568|SOUTHEAST|Lime|Stone|33|Alabaster
0100009|Dolcito Quarry|Surface|Active|Vulcan Construction Materials, LLC|VULCAN|Vulcan Materials Company|AL|Jefferson|33.586388|-86.763333|SOUTHEAST|Crushed, Broken Limestone NEC|Stone|22|Tarrant
0100010|Rockwood Mine|Underground|Active|Alabama Stone Company|OTHER|Ron J Vetter; Donn J Vetter|AL|Franklin|34.507778|-87.728611|SOUTHEAST|Dimension Limestone|Stone|24|Russellville
0100011|Imerys Sylacauga Operations|Surface|Active|Imerys Carbonates USA, Inc.|OTHER|Imerys S A|AL|Talladega|33.240278|-86.333056|SOUTHEAST|Crushed, Broken Marble|Stone|280|Sylacauga
0100012|Ohatchee Quarry|Surface|Active|Vulcan Construction Materials, LLC|VULCAN|Vulcan Materials Company|AL|Calhoun|33.783611|-85.928056|SOUTHEAST|Crushed, Broken Limestone NEC|Stone|7|Alexandria
0100013|C A Langford Co Inc|Surface|Active|C A Langford Company Inc|OTHER|William S  Langford|AL|Marshall|34.338333|-86.369167|SOUTHEAST|Crushed, Broken Limestone NEC|Stone|10|Guntersville
0100016|Demopolis Plant Cemex Inc|Facility|Active|CEMEX Southeast, LLC|CEMEX|Cemex S A|AL|Marengo|32.510277|-87.8125|SOUTHEAST|Cement|Stone|98|Demopolis
0100021|HUNTSVILLE NORTH QUARRY|Surface|Active|Vulcan Construction Materials, LLC|VULCAN|Vulcan Materials Company|AL|Madison|34.778611|-86.625|SOUTHEAST|Crushed, Broken Limestone NEC|Stone|37|Huntsville
0100027|NATIONAL CEMENT COMPANY|Facility|Active|National Cement Co. of AL., Inc.|OTHER|Vicat S A|AL|St Clair|33.744444|-86.155833|SOUTHEAST|Cement|Stone|120|Ragland
